academicYear,primaryCategory,secondaryCategory,value,dimension,semester
2006-07,New Transfer Students,Full-Time,9,Gender,Fall
2006-07,New Transfer Students,Part-Time,0,Gender,Fall
2005-06,New Transfer Students,Full-Time,8,Gender,Fall
2005-06,New Transfer Students,Part-Time,0,Gender,Fall
2004-05,New Transfer Students,Full-Time,9,Gender,Fall
2004-05,New Transfer Students,Part-Time,0,Gender,Fall
2003-04,New Transfer Students,Full-Time,10,Gender,Fall
2003-04,New Transfer Students,Part-Time,0,Gender,Fall
2002-03,New Transfer Students,Full-Time,10,Gender,Fall
2024-25,Returning On-Campus Students,Full-Time,138,Gender,Fall
2024-25,Returning On-Campus Students,Part-Time,0,Gender,Fall
2023-24,Returning On-Campus Students,Full-Time,149,Gender,Fall
2023-24,Returning On-Campus Students,Part-Time,0,Gender,Fall
2022-23,Returning On-Campus Students,Full-Time,194,Gender,Fall
2022-23,Returning On-Campus Students,Part-Time,1,Gender,Fall
2021-22,Returning On-Campus Students,Full-Time,169,Gender,Fall
2021-22,Returning On-Campus Students,Part-Time,0,Gender,Fall
2020-21,Returning On-Campus Students,Full-Time,158,Gender,Fall
2020-21,Returning On-Campus Students,Part-Time,1,Gender,Fall
2019-20,Returning On-Campus Students,Full-Time,179,Gender,Fall
2019-20,Returning On-Campus Students,Part-Time,0,Gender,Fall
2018-19,Returning On-Campus Students,Full-Time,206,Gender,Fall
2018-19,Returning On-Campus Students,Part-Time,0,Gender,Fall
2017-18,Returning On-Campus Students,Full-Time,175,Gender,Fall
2017-18,Returning On-Campus Students,Part-Time,0,Gender,Fall
2016-17,Returning On-Campus Students,Full-Time,185,Gender,Fall
2016-17,Returning On-Campus Students,Part-Time,0,Gender,Fall
2015-16,Returning On-Campus Students,Full-Time,157,Gender,Fall
2015-16,Returning On-Campus Students,Part-Time,0,Gender,Fall
2014-15,Returning On-Campus Students,Full-Time,158,Gender,Fall
2014-15,Returning On-Campus Students,Part-Time,0,Gender,Fall
2013-14,Returning On-Campus Students,Full-Time,131,Gender,Fall
2013-14,Returning On-Campus Students,Part-Time,2,Gender,Fall
2012-13,Returning On-Campus Students,Full-Time,136,Gender,Fall
2012-13,Returning On-Campus Students,Part-Time,0,Gender,Fall
2011-12,Returning On-Campus Students,Full-Time,169,Gender,Fall
2011-12,Returning On-Campus Students,Part-Time,0,Gender,Fall
2010-11,Returning On-Campus Students,Full-Time,182,Gender,Fall
2010-11,Returning On-Campus Students,Part-Time,0,Gender,Fall
2009-10,Returning On-Campus Students,Full-Time,215,Gender,Fall
2009-10,Returning On-Campus Students,Part-Time,1,Gender,Fall
2008-09,Returning On-Campus Students,Full-Time,228,Gender,Fall
2008-09,Returning On-Campus Students,Part-Time,1,Gender,Fall
2007-08,Returning On-Campus Students,Full-Time,239,Gender,Fall
2007-08,Returning On-Campus Students,Part-Time,0,Gender,Fall
2006-07,Returning On-Campus Students,Full-Time,286,Gender,Fall
2006-07,Returning On-Campus Students,Part-Time,0,Gender,Fall
2005-06,Returning On-Campus Students,Full-Time,289,Gender,Fall
2005-06,Returning On-Campus Students,Part-Time,0,Gender,Fall
2004-05,Returning On-Campus Students,Full-Time,238,Gender,Fall
2004-05,Returning On-Campus Students,Part-Time,1,Gender,Fall
2003-04,Returning On-Campus Students,Full-Time,262,Gender,Fall
2003-04,Returning On-Campus Students,Part-Time,2,Gender,Fall
2002-03,Returning On-Campus Students,Full-Time,203,Gender,Fall
2024-25,Off-Campus Students,Full-Time,0,Gender,Fall
2024-25,Off-Campus Students,Part-Time,0,Gender,Fall
2023-24,Off-Campus Students,Full-Time,0,Gender,Fall
2023-24,Off-Campus Students,Part-Time,0,Gender,Fall
2022-23,Off-Campus Students,Full-Time,1,Gender,Fall
2022-23,Off-Campus Students,Part-Time,0,Gender,Fall
2024-25,New High School Grads (w/ 6+ units),Full-Time,3,Gender,Fall
2024-25,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2023-24,New High School Grads (w/ 6+ units),Full-Time,5,Gender,Fall
2023-24,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2022-23,New High School Grads (w/ 6+ units),Full-Time,3,Gender,Fall
2022-23,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2021-22,New High School Grads (w/ 6+ units),Full-Time,6,Gender,Fall
2021-22,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2020-21,New High School Grads (w/ 6+ units),Full-Time,3,Gender,Fall
2020-21,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2019-20,New High School Grads (w/ 6+ units),Full-Time,3,Gender,Fall
2019-20,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2018-19,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2018-19,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2017-18,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2017-18,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2016-17,New High School Grads (w/ 6+ units),Full-Time,0,Gender,Fall
2016-17,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2015-16,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2015-16,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2014-15,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2014-15,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2013-14,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2013-14,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2012-13,New High School Grads (w/ 6+ units),Full-Time,1,Gender,Fall
2012-13,New High School Grads (w/ 6+ units),Part-Time,0,Gender,Fall
2024-25,New Transfer Students,Full-Time,4,Gender,Fall
2024-25,New Transfer Students,Part-Time,0,Gender,Fall
2023-24,New Transfer Students,Full-Time,6,Gender,Fall
2023-24,New Transfer Students,Part-Time,0,Gender,Fall
2022-23,New Transfer Students,Full-Time,4,Gender,Fall
2022-23,New Transfer Students,Part-Time,0,Gender,Fall
2021-22,New Transfer Students,Full-Time,4,Gender,Fall
2021-22,New Transfer Students,Part-Time,0,Gender,Fall
2020-21,New Transfer Students,Full-Time,3,Gender,Fall
2020-21,New Transfer Students,Part-Time,0,Gender,Fall
2019-20,New Transfer Students,Full-Time,5,Gender,Fall
2019-20,New Transfer Students,Part-Time,0,Gender,Fall
2018-19,New Transfer Students,Full-Time,4,Gender,Fall
2018-19,New Transfer Students,Part-Time,0,Gender,Fall
2017-18,New Transfer Students,Full-Time,9,Gender,Fall
2017-18,New Transfer Students,Part-Time,0,Gender,Fall
2016-17,New Transfer Students,Full-Time,3,Gender,Fall
2016-17,New Transfer Students,Part-Time,0,Gender,Fall
2015-16,New Transfer Students,Full-Time,6,Gender,Fall
2015-16,New Transfer Students,Part-Time,0,Gender,Fall
2014-15,New Transfer Students,Full-Time,2,Gender,Fall
2014-15,New Transfer Students,Part-Time,0,Gender,Fall
2013-14,New Transfer Students,Full-Time,3,Gender,Fall
2013-14,New Transfer Students,Part-Time,0,Gender,Fall
2012-13,New Transfer Students,Full-Time,6,Gender,Fall
2012-13,New Transfer Students,Part-Time,0,Gender,Fall
2011-12,New Transfer Students,Full-Time,0,Gender,Fall
2011-12,New Transfer Students,Part-Time,0,Gender,Fall
2010-11,New Transfer Students,Full-Time,3,Gender,Fall
2010-11,New Transfer Students,Part-Time,0,Gender,Fall
2009-10,New Transfer Students,Full-Time,1,Gender,Fall
2009-10,New Transfer Students,Part-Time,0,Gender,Fall
2008-09,New Transfer Students,Full-Time,3,Gender,Fall
2008-09,New Transfer Students,Part-Time,0,Gender,Fall
2007-08,New Transfer Students,Full-Time,2,Gender,Fall
2007-08,New Transfer Students,Part-Time,0,Gender,Fall
2006-07,New Transfer Students,Full-Time,3,Gender,Fall
2006-07,New Transfer Students,Part-Time,0,Gender,Fall
2005-06,New Transfer Students,Full-Time,3,Gender,Fall
2005-06,New Transfer Students,Part-Time,0,Gender,Fall
2004-05,New Transfer Students,Full-Time,4,Gender,Fall
2004-05,New Transfer Students,Part-Time,0,Gender,Fall
2003-04,New Transfer Students,Full-Time,2,Gender,Fall
2003-04,New Transfer Students,Part-Time,0,Gender,Fall
2002-03,New Transfer Students,Full-Time,3,Gender,Fall
2024-25,Returning On-Campus Students,Full-Time,118,Gender,Fall
2024-25,Returning On-Campus Students,Part-Time,1,Gender,Fall
2023-24,Returning On-Campus Students,Full-Time,169,Gender,Fall
2023-24,Returning On-Campus Students,Part-Time,0,Gender,Fall
2022-23,Returning On-Campus Students,Full-Time,138,Gender,Fall
2022-23,Returning On-Campus Students,Part-Time,0,Gender,Fall
2021-22,Returning On-Campus Students,Full-Time,138,Gender,Fall
2021-22,Returning On-Campus Students,Part-Time,0,Gender,Fall
2020-21,Returning On-Campus Students,Full-Time,156,Gender,Fall
2020-21,Returning On-Campus Students,Part-Time,0,Gender,Fall
2019-20,Returning On-Campus Students,Full-Time,174,Gender,Fall
2019-20,Returning On-Campus Students,Part-Time,0,Gender,Fall
2018-19,Returning On-Campus Students,Full-Time,152,Gender,Fall
2018-19,Returning On-Campus Students,Part-Time,0,Gender,Fall
2017-18,Returning On-Campus Students,Full-Time,161,Gender,Fall
2017-18,Returning On-Campus Students,Part-Time,0,Gender,Fall
